drink_name,type,size,calories,fat,cholesterol,sodium,carb,sugar,protein,caffeine
Caffè Americano,Hot Coffees,Short,5,0,0,5,1,0,0,75
Caffè Americano,Hot Coffees,Tall,10,0,0,10,1,0,1,150
Caffè Americano,Hot Coffees,Grande,15,0,0,10,2,0,1,225
Caffè Americano,Hot Coffees,Venti,15,0,0,15,3,0,1,300
Featured Blonde Roast,Hot Coffees,Short,5,0,0,5,0,0,0,180
Featured Blonde Roast,Hot Coffees,Tall,5,0,0,10,0,0,0,270
Featured Blonde Roast,Hot Coffees,Grande,5,0,0,10,0,0,1,360
Featured Blonde Roast,Hot Coffees,Venti,5,0,0,10,0,0,1,475
Featured Medium Roast Pike Place® Roast,Hot Coffees,Short,5,0,0,5,0,0,0,155
Featured Medium Roast Pike Place® Roast,Hot Coffees,Tall,5,0,0,10,0,0,0,235
Featured Medium Roast Pike Place® Roast,Hot Coffees,Grande,5,0,0,10,0,0,1,310
Featured Medium Roast Pike Place® Roast,Hot Coffees,Venti,5,0,0,10,0,0,1,410
Featured Dark Roast,Hot Coffees,Short,5,0,0,5,0,0,0,130
Featured Dark Roast,Hot Coffees,Tall,5,0,0,10,0,0,0,195
Featured Dark Roast,Hot Coffees,Grande,5,0,0,10,0,0,1,260
Featured Dark Roast,Hot Coffees,Venti,5,0,0,10,0,0,1,340
Featured Decaf Roast Decaf Pike Place® Roast,Hot Coffees,Short,5,0,0,5,0,0,0,15
Featured Decaf Roast Decaf Pike Place® Roast,Hot Coffees,Tall,5,0,0,5,0,0,0,20
Featured Decaf Roast Decaf Pike Place® Roast,Hot Coffees,Grande,5,0,0,10,0,0,1,25
Featured Decaf Roast Decaf Pike Place® Roast,Hot Coffees,Venti,5,0,0,10,0,0,1,30
Veranda Blend® Clover Vertica™,Hot Coffees,Short,10,0,0,5,0,0,0,195
Veranda Blend® Clover Vertica™,Hot Coffees,Tall,10,0,0,10,0,0,0,195
Veranda Blend® Clover Vertica™,Hot Coffees,Grande,10,0,0,10,0,0,1,195
Veranda Blend® Clover Vertica™,Hot Coffees,Venti,10,0,0,10,0,0,1,195
Featured Medium Roast Pike Place® Roast,Hot Coffees,Short,10,0,0,5,0,0,0,195
Featured Medium Roast Pike Place® Roast,Hot Coffees,Tall,10,0,0,10,0,0,0,195
Featured Medium Roast Pike Place® Roast,Hot Coffees,Grande,10,0,0,10,0,0,1,195
Featured Medium Roast Pike Place® Roast,Hot Coffees,Venti,10,0,0,10,0,0,1,195
Featured Dark Roast Caffè Verona®,Hot Coffees,Short,10,0,0,5,0,0,0,195
Featured Dark Roast Caffè Verona®,Hot Coffees,Tall,10,0,0,10,0,0,0,195
Featured Dark Roast Caffè Verona®,Hot Coffees,Grande,10,0,0,10,0,0,1,195
Featured Dark Roast Caffè Verona®,Hot Coffees,Venti,10,0,0,10,0,0,1,195
Sumatra,Hot Coffees,Short,10,0,0,5,0,0,0,195
Sumatra,Hot Coffees,Tall,10,0,0,10,0,0,0,195
Sumatra,Hot Coffees,Grande,10,0,0,10,0,0,1,195
Sumatra,Hot Coffees,Venti,10,0,0,10,0,0,1,195
Clover Vertica Guatemala Huehuetenango,Hot Coffees,Short,10,0,0,5,0,0,0,195
Clover Vertica Guatemala Huehuetenango,Hot Coffees,Tall,10,0,0,10,0,0,0,195
Clover Vertica Guatemala Huehuetenango,Hot Coffees,Grande,10,0,0,10,0,0,1,195
Clover Vertica Guatemala Huehuetenango,Hot Coffees,Venti,10,0,0,10,0,0,1,195
Featured Decaf Roast Decaf Pike Place® Roast,Hot Coffees,Short,10,0,0,5,0,0,0,15
Featured Decaf Roast Decaf Pike Place® Roast,Hot Coffees,Tall,10,0,0,10,0,0,0,15
Featured Decaf Roast Decaf Pike Place® Roast,Hot Coffees,Grande,10,0,0,10,0,0,1,15
Featured Decaf Roast Decaf Pike Place® Roast,Hot Coffees,Venti,10,0,0,10,0,0,1,15
Caffè Misto,Hot Coffees,Short,50,2,10,50,5,5,4,75
Caffè Misto,Hot Coffees,Tall,80,3,15,80,8,8,5,115
Caffè Misto,Hot Coffees,Grande,110,4,15,100,10,10,7,150
Caffè Misto,Hot Coffees,Venti,130,5,20,130,13,13,9,195
Starbucks Reserve® Christmas 2023 Clover®,Hot Coffees,Short,10,0,0,5,0,0,0,195
Starbucks Reserve® Christmas 2023 Clover®,Hot Coffees,Tall,10,0,0,10,0,0,0,195
Starbucks Reserve® Christmas 2023 Clover®,Hot Coffees,Grande,10,0,0,10,0,0,1,195
Starbucks Reserve® Christmas 2023 Clover®,Hot Coffees,Venti,10,0,0,10,0,0,1,195
Clover® Malawi Sable Farms Starbucks Reserve®,Hot Coffees,Short,5,0,0,10,0,0,1,195
Clover® Malawi Sable Farms Starbucks Reserve®,Hot Coffees,Tall,5,0,0,10,0,0,0,195
Clover® Malawi Sable Farms Starbucks Reserve®,Hot Coffees,Grande,5,0,0,5,0,0,0,195
Clover® Malawi Sable Farms Starbucks Reserve®,Hot Coffees,Venti,5,0,0,10,0,0,1,195
Clover® Starbucks Reserve® Vietnam Da Lat,Hot Coffees,Short,10,0,0,5,0,0,0,195
Clover® Starbucks Reserve® Vietnam Da Lat,Hot Coffees,Tall,10,0,0,10,0,0,0,195
Clover® Starbucks Reserve® Vietnam Da Lat,Hot Coffees,Grande,10,0,0,10,0,0,1,195
Clover® Starbucks Reserve® Vietnam Da Lat,Hot Coffees,Venti,10,0,0,10,0,0,1,195
