drink_name,size,drink_price
Caffè Latte,Grande,5.25
White Chocolate Mocha,Grande,6.45
Starbucks® Blonde Vanilla Latte,Grande,6.15
Caffè Mocha,Grande,5.95
Caramel Macchiato,Grande,6.15
Cinnamon Dolce Latte,Grande,6.45
Featured Medium Roast Pike Place® Roast,Grande,3.15
Caffè Americano,Grande,4.75
Cappuccino,Grande,5.25
Featured Blonde Roast,Grande,3.15
Caffè Misto,Grande,3.95
Flat White,Grande,5.95
Coffee Traveler - Pike Place® Roast,Grande,23.95
Espresso Macchiato,Grande,3.45
Coffee Traveler - Veranda Blend®,Grande,23.95
Coffee Traveler - Dark Roast,Grande,23.95
Coffee Traveler - Decaf Pike Place® Roast,Grande,23.95
Featured Dark Roast,Grande,3.15
Featured Decaf Roast Decaf Pike Place® Roast,Grande,3.15
Pistachio Latte,Grande,6.75
Peppermint Mocha,Grande,6.75
Peppermint White Chocolate Mocha,Grande,6.75
Chai Tea Latte,Grande,5.45
Matcha Tea Latte,Grande,5.45
Hot Chocolate,Grande,2.95
Vanilla Crème,Grande,2.95
Steamed Milk,Grande,3.25
White Hot Chocolate,Grande,4.45
Steamed Apple Juice,Grande,2.95
Caramel Apple Spice,Grande,4.75
Peppermint Hot Chocolate,Grande,4.45
Peppermint White Hot Chocolate,Grande,4.45
Pistachio Crème,Grande,4.45
Caramel Ribbon Crunch Frappuccino® Blended Beverage,Grande,6.55
Vanilla Bean Crème Frappuccino® Blended Crème,Grande,5.55
Matcha Crème Frappuccino® Blended Beverage,Grande,5.95
Caffè Vanilla Frappuccino® Blended Beverage,Grande,5.95
Java Chip Frappuccino® Blended Beverage,Grande,5.95
Caramel Frappuccino® Blended Beverage,Grande,5.95
Espresso Frappuccino® Blended Beverage,Grande,7.15
Mocha Cookie Crumble Frappuccino®,Grande,6.55
Caramel Ribbon Crunch Crème Frappuccino® Blended Beverage,Grande,6.55
Mocha Frappuccino® Blended Beverage,Grande,5.95
Double Chocolaty Chip Crème Frappuccino® Blended Beverage,Grande,5.95
Coffee Frappuccino® Blended Beverage,Grande,5.55
White Chocolate Crème Frappuccino® Blended Beverage,Grande,5.95
White Chocolate Mocha Frappuccino® Blended Beverage,Grande,5.95
Peppermint Mocha Frappuccino® Blended Beverage,Grande,6.55
Peppermint White Chocolate Mocha Frappuccino® Blended Beverage,Grande,6.55
Pistachio Frappuccino® Blended Beverage,Grande,6.55
Peppermint Mocha Crème Frappuccino® Blended Beverage,Grande,6.55
Peppermint White Chocolate Crème Frappuccino® Blended Beverage,Grande,6.55
Pistachio Crème Frappuccino® Blended Beverage,Grande,6.55
Chai Crème Frappuccino®,Grande,5.95
Chocolate-Covered Strawberry Crème Frappuccino® Blended Beverage,Grande,6.55
Iced Caramel Macchiato,Grande,6.55
Iced White Chocolate Mocha,Grande,6.75
Iced Brown Sugar Oatmilk Shaken Espresso,Grande,6.75
Vanilla Sweet Cream Cold Brew,Grande,5.45
Salted Caramel Cream Cold Brew,Grande,5.75
Iced Caffè Americano,Grande,4.75
Iced Starbucks® Blonde Vanilla Latte,Grande,6.25
Iced Shaken Espresso,Grande,4.75
Iced Coffee,Grande,4.55
Iced Caffè Latte,Grande,5.45
Starbucks® Cold Brew Coffee,Grande,5.15
Iced Caffè Mocha,Grande,6.25
Starbucks® Cold Brew Coffee with Milk,Grande,5.15
Chocolate Cream Cold Brew,Grande,5.75
Iced Cinnamon Dolce Latte,Grande,6.75
Iced Coffee with Milk,Grande,4.55
Iced Flat White,Grande,6.25
Pistachio Cream Cold Brew,Grande,5.75
Chocolate Hazelnut Cookie Cold Brew,Grande,5.75
Iced Hazelnut Oatmilk Shaken Espresso,Grande,6.75
Iced Pistachio Latte,Grande,7.15
Iced Peppermint Mocha,Grande,7.15
Iced Peppermint White Chocolate Mocha,Grande,7.15
Brew DR. Island Mango Kombucha,Grande,4.75
Brew DR. Superberry Kombucha,Grande,4.75
Iced Black Tea,Grande,3.55
Iced Black Tea Lemonade,Grande,4.15
Iced Chai Tea Latte,Grande,5.75
Iced Matcha Tea Latte,Grande,5.75
Iced Green Tea Lemonade,Grande,4.15
Iced Matcha Lemonade,Grande,4.15
Iced Green Tea,Grande,3.55
Iced Passion Tango® Tea,Grande,3.55
Iced Passion Tango® Tea Lemonade,Grande,4.15
Strawberry Açaí Lemonade Starbucks Refreshers® Beverage,Grande,5.95
Pink Drink Starbucks Refreshers® Beverage,Grande,5.95
Strawberry Açaí Starbucks Refreshers® Beverage,Grande,5.15
Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage,Grande,5.95
Mango Dragonfruit Starbucks Refreshers® Beverage,Grande,5.15
Dragon Drink® Starbucks Refreshers® Beverage,Grande,5.95
Paradise Drink Starbucks Refreshers® Beverage,Grande,5.95
Horizon® Chocolate Organic Milk,Grande,3.55
Pineapple Passionfruit Lemonade Starbucks Refreshers® Beverage,Grande,5.95
Ethos® Bottled Water,Grande,3.25
Blended Strawberry Lemonade,Grande,5.15
Lemonade,Grande,3.25
Cold Milk,Grande,3.95
Pineapple Passionfruit Starbucks Refreshers® Beverage,Grande,5.15
Koia® Cacao Bean Protein Shake,Grande,5.95
Koia® Vanilla Bean Protein Shake,Grande,5.95
